# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "ID" "-a" "genome/s_aureus_USA300.gff3" "-o" "counts/counts.txt" "mapped_reads/fm_1.bam" "mapped_reads/fm_2.bam" "mapped_reads/fm_3.bam" "mapped_reads/fm_4.bam" "mapped_reads/m_1.bam" "mapped_reads/m_2.bam" "mapped_reads/m_3.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/fm_1.bam	mapped_reads/fm_2.bam	mapped_reads/fm_3.bam	mapped_reads/fm_4.bam	mapped_reads/m_1.bam	mapped_reads/m_2.bam	mapped_reads/m_3.bam
gene-SAOUHSC_01491	NC_007795.1	1446047	1447045	-	999	329	8	395	62	92	246	1030
gene-SAOUHSC_01492	NC_007795.1	1447062	1448372	-	1311	144	16	80	34	76	70	276
gene-SAOUHSC_01493	NC_007795.1	1448594	1449769	-	1176	429	108	350	392	514	146	1117
gene-SAOUHSC_A01436	NC_007795.1	1450026	1450217	-	192	0	0	9	0	0	0	0
gene-SAOUHSC_01494	NC_007795.1	1450171	1450308	+	138	0	0	0	0	0	0	0
gene-SAOUHSC_01495	NC_007795.1	1450334	1450450	-	117	0	0	0	0	2	0	0
gene-SAOUHSC_01496	NC_007795.1	1450481	1451140	-	660	46	0	0	14	8	13	17
gene-SAOUHSC_01497	NC_007795.1	1451217	1452185	+	969	395	8	6	69	46	14	68
gene-SAOUHSC_01499	NC_007795.1	1452300	1453286	-	987	53	62	34	75	94	42	58
gene-SAOUHSC_01500	NC_007795.1	1453447	1453563	-	117	5	3	7	1	0	0	0
gene-SAOUHSC_01501	NC_007795.1	1453688	1455148	-	1461	812	127	105	1117	925	373	1173
gene-SAOUHSC_01502	NC_007795.1	1455301	1456680	-	1380	86	0	20	51	54	64	176
gene-SAOUHSC_01503	NC_007795.1	1456670	1457623	-	954	20	10	52	2	9	32	11
gene-SAOUHSC_01504	NC_007795.1	1457755	1457979	+	225	28	2	0	0	7	2	17
gene-SAOUHSC_01505	NC_007795.1	1458085	1458630	-	546	863	83	102	320	345	257	796
gene-SAOUHSC_01507	NC_007795.1	1458909	1459028	-	120	21	0	0	0	2	0	6
gene-SAOUHSC_01508	NC_007795.1	1459227	1460141	-	915	22	4	6	10	2	2	29
gene-SAOUHSC_01510	NC_007795.1	1460156	1460362	-	207	0	0	0	0	0	0	0
gene-SAOUHSC_01511	NC_007795.1	1460355	1461245	-	891	0	0	0	0	4	0	4
gene-SAOUHSC_01512	NC_007795.1	1461363	1462280	-	918	10	2	6	0	0	0	34
gene-SAOUHSC_01513	NC_007795.1	1462371	1462718	-	348	24	0	37	0	0	0	4
gene-SAOUHSC_01514	NC_007795.1	1462963	1463799	-	837	0	0	0	0	0	0	0
gene-SAOUHSC_01515	NC_007795.1	1464415	1465869	-	1455	0	0	4	0	0	0	10
gene-SAOUHSC_01516	NC_007795.1	1465880	1466182	-	303	0	0	0	0	0	0	0
gene-SAOUHSC_01517	NC_007795.1	1466318	1466617	-	300	0	0	0	0	0	0	0
gene-SAOUHSC_01518	NC_007795.1	1466663	1466827	-	165	0	0	0	0	0	0	0
gene-SAOUHSC_01519	NC_007795.1	1466820	1467209	-	390	0	0	0	0	0	0	0
gene-SAOUHSC_01520	NC_007795.1	1467209	1468675	-	1467	0	0	0	0	0	0	0
gene-SAOUHSC_01521	NC_007795.1	1468675	1470585	-	1911	0	0	0	0	0	0	2
gene-SAOUHSC_01522	NC_007795.1	1470601	1470891	-	291	0	0	0	0	0	0	0
gene-SAOUHSC_01523	NC_007795.1	1470891	1472474	-	1584	0	6	0	0	0	0	0
gene-SAOUHSC_01524	NC_007795.1	1472483	1473307	-	825	0	0	0	0	0	0	0
gene-SAOUHSC_01525	NC_007795.1	1473307	1479507	-	6201	0	12	8	0	0	0	0
gene-SAOUHSC_01526	NC_007795.1	1479521	1479679	-	159	0	0	0	0	0	0	0
gene-SAOUHSC_01527	NC_007795.1	1479721	1480071	-	351	0	0	0	0	0	0	0
gene-SAOUHSC_01528	NC_007795.1	1480129	1480584	-	456	0	0	0	0	0	0	0
gene-SAOUHSC_01529	NC_007795.1	1480676	1481317	-	642	0	0	0	0	0	0	0
gene-SAOUHSC_01530	NC_007795.1	1481352	1481747	-	396	0	0	0	0	0	0	0
gene-SAOUHSC_01531	NC_007795.1	1481748	1482149	-	402	0	0	0	0	0	0	0
gene-SAOUHSC_01532	NC_007795.1	1482146	1482478	-	333	6	0	0	0	0	0	0
gene-SAOUHSC_01533	NC_007795.1	1482490	1482768	-	279	0	0	0	0	0	0	0
gene-SAOUHSC_01535	NC_007795.1	1482837	1484000	-	1164	0	0	0	0	0	0	0
gene-SAOUHSC_01536	NC_007795.1	1484012	1484785	-	774	0	0	0	0	0	0	0
gene-SAOUHSC_01537	NC_007795.1	1484769	1486007	-	1239	0	0	0	0	0	0	0
gene-SAOUHSC_01538	NC_007795.1	1486012	1487703	-	1692	0	4	0	0	0	0	0
gene-SAOUHSC_01539	NC_007795.1	1487693	1487998	-	306	0	0	0	0	0	0	0
gene-SAOUHSC_01540	NC_007795.1	1488120	1488434	-	315	0	0	0	6	0	0	0
gene-SAOUHSC_01541	NC_007795.1	1488591	1489028	-	438	0	0	0	0	0	2	0
gene-SAOUHSC_01542	NC_007795.1	1489041	1490408	-	1368	0	8	0	0	0	1	0
gene-SAOUHSC_01543	NC_007795.1	1490389	1490679	-	291	0	10	0	0	0	0	0
gene-SAOUHSC_01544	NC_007795.1	1490813	1490917	+	105	0	2	0	0	0	0	0
gene-SAOUHSC_01545	NC_007795.1	1491020	1491310	-	291	0	1	0	0	0	0	0
gene-SAOUHSC_01546	NC_007795.1	1491243	1491503	-	261	0	0	0	0	0	0	0
gene-SAOUHSC_01547	NC_007795.1	1491472	1493469	-	1998	0	18	0	0	6	0	0
gene-SAOUHSC_01548	NC_007795.1	1493521	1493721	-	201	0	2	0	0	0	0	0
gene-SAOUHSC_01549	NC_007795.1	1493789	1493956	-	168	0	0	0	0	0	0	0
gene-SAOUHSC_01550	NC_007795.1	1493944	1494144	-	201	0	0	0	0	0	0	0
gene-SAOUHSC_01551	NC_007795.1	1494119	1494307	-	189	1	0	0	0	0	0	0
gene-SAOUHSC_01552	NC_007795.1	1494344	1494886	-	543	0	0	0	0	0	0	0
gene-SAOUHSC_01553	NC_007795.1	1494891	1495127	-	237	0	0	4	0	0	0	0
gene-SAOUHSC_01555	NC_007795.1	1495425	1495772	-	348	0	3	0	0	0	0	0
gene-SAOUHSC_01556	NC_007795.1	1495769	1496170	-	402	0	6	0	0	0	0	0
gene-SAOUHSC_01557	NC_007795.1	1496173	1496379	-	207	0	0	0	0	0	0	0
gene-SAOUHSC_01558	NC_007795.1	1496393	1496635	-	243	51	4	0	0	0	12	2
gene-SAOUHSC_01559	NC_007795.1	1496650	1496850	-	201	0	0	0	0	0	0	0
gene-SAOUHSC_01560	NC_007795.1	1496853	1497110	-	258	72	0	14	0	0	0	18
gene-SAOUHSC_01561	NC_007795.1	1497110	1497511	-	402	71	0	2	0	0	0	8
gene-SAOUHSC_01562	NC_007795.1	1497511	1497696	-	186	0	0	0	0	0	0	0
gene-SAOUHSC_01563	NC_007795.1	1497709	1499661	-	1953	0	10	0	0	0	0	0
gene-SAOUHSC_01565	NC_007795.1	1499730	1500287	-	558	0	0	0	0	0	0	0
gene-SAOUHSC_01566	NC_007795.1	1500313	1501479	-	1167	0	0	0	0	0	0	0
gene-SAOUHSC_01567	NC_007795.1	1501476	1501838	-	363	0	0	0	0	0	0	0
gene-SAOUHSC_01568	NC_007795.1	1501853	1502176	-	324	0	0	0	0	0	0	0
gene-SAOUHSC_01569	NC_007795.1	1502255	1502416	-	162	4	2	0	0	0	0	0
gene-SAOUHSC_01570	NC_007795.1	1502429	1502692	-	264	0	4	0	0	0	0	0
gene-SAOUHSC_01571	NC_007795.1	1502717	1502932	-	216	0	0	0	0	0	0	0
gene-SAOUHSC_01572	NC_007795.1	1502987	1503352	+	366	0	0	0	0	0	0	0
gene-SAOUHSC_01573	NC_007795.1	1503321	1503566	-	246	15	0	17	2	0	0	0
gene-SAOUHSC_01574	NC_007795.1	1503582	1503845	-	264	22	0	38	4	3	0	0
gene-SAOUHSC_A01514	NC_007795.1	1503842	1504015	-	174	0	0	0	0	0	0	0
gene-SAOUHSC_01575	NC_007795.1	1503978	1504691	+	714	317	0	60	204	134	2	610
gene-SAOUHSC_01576	NC_007795.1	1504707	1505639	+	933	9	0	12	0	0	2	0
gene-SAOUHSC_01577	NC_007795.1	1505645	1505986	+	342	6	0	0	0	0	0	0
gene-SAOUHSC_01578	NC_007795.1	1506145	1506372	+	228	0	0	0	0	0	1	1
gene-SAOUHSC_01579	NC_007795.1	1506409	1506555	+	147	0	0	0	0	0	2	22
gene-SAOUHSC_01580	NC_007795.1	1506552	1507166	-	615	0	3	0	0	0	6	37
gene-SAOUHSC_01582	NC_007795.1	1507292	1508497	+	1206	0	4	0	0	0	0	0
gene-SAOUHSC_01583	NC_007795.1	1508540	1510567	-	2028	0	21	50	0	4	4	0
gene-SAOUHSC_01584	NC_007795.1	1510560	1511429	-	870	4	12	20	0	0	0	6
gene-SAOUHSC_01585	NC_007795.1	1511734	1513485	-	1752	267	23	79	80	116	125	400
gene-SAOUHSC_01586	NC_007795.1	1513466	1514191	-	726	422	79	199	154	251	184	619
gene-SAOUHSC_01587	NC_007795.1	1514324	1515061	-	738	6	4	11	0	6	2	4
gene-SAOUHSC_01588	NC_007795.1	1515054	1515596	-	543	14	10	8	2	4	24	19
gene-SAOUHSC_01589	NC_007795.1	1515589	1516320	-	732	46	26	37	10	10	10	23
gene-SAOUHSC_01590	NC_007795.1	1516412	1516918	+	507	14	4	17	4	4	6	31
gene-SAOUHSC_01591	NC_007795.1	1516996	1517883	-	888	1218	189	222	135	233	328	639
gene-SAOUHSC_01592	NC_007795.1	1517932	1518381	-	450	403	58	92	63	79	177	310
gene-SAOUHSC_01593	NC_007795.1	1518486	1519028	-	543	6	0	0	0	2	18	6
gene-SAOUHSC_01594	NC_007795.1	1519110	1520018	+	909	198	54	111	133	161	80	133
gene-SAOUHSC_01595	NC_007795.1	1520234	1520482	-	249	60	26	12	46	93	31	90
gene-SAOUHSC_01596	NC_007795.1	1520498	1521253	-	756	123	64	0	71	108	48	121
gene-SAOUHSC_01597	NC_007795.1	1521425	1522210	+	786	254	114	30	163	384	141	195
gene-SAOUHSC_01598	NC_007795.1	1522315	1523235	-	921	22	10	24	5	12	14	60
gene-SAOUHSC_01599	NC_007795.1	1523548	1525032	+	1485	968	296	931	371	930	810	2468
gene-SAOUHSC_01600	NC_007795.1	1525235	1526128	+	894	826	208	374	314	377	290	1207
gene-SAOUHSC_01601	NC_007795.1	1526211	1527860	-	1650	80	8	90	14	4	18	132
gene-SAOUHSC_01602	NC_007795.1	1527876	1528895	-	1020	4	0	12	2	2	2	12
gene-SAOUHSC_01603	NC_007795.1	1528896	1529150	-	255	0	1	22	0	8	5	24
gene-SAOUHSC_01604	NC_007795.1	1529089	1529460	-	372	54	24	230	90	391	4	364
gene-SAOUHSC_01605	NC_007795.1	1529679	1531085	-	1407	307	182	1417	91	178	377	2079
gene-SAOUHSC_01606	NC_007795.1	1531153	1532286	-	1134	192	36	220	252	262	84	642
gene-SAOUHSC_01607	NC_007795.1	1532549	1532728	+	180	1	0	0	1	0	0	1
gene-SAOUHSC_01608	NC_007795.1	1532809	1532901	+	93	5	1	0	2	0	1	29
gene-SAOUHSC_01609	NC_007795.1	1532855	1533835	-	981	71	70	82	30	76	102	257
gene-SAOUHSC_01610	NC_007795.1	1533849	1534286	-	438	94	8	14	12	31	28	70
gene-SAOUHSC_01611	NC_007795.1	1534637	1535911	-	1275	1495	657	196	554	822	1303	532
gene-SAOUHSC_01612	NC_007795.1	1535924	1536907	-	984	1736	590	298	902	1225	1079	1166
gene-SAOUHSC_01613	NC_007795.1	1536907	1537899	-	993	714	124	134	209	269	245	2289
gene-SAOUHSC_01614	NC_007795.1	1537915	1539336	-	1422	8731	2104	1993	4000	5225	3827	2639
gene-SAOUHSC_01615	NC_007795.1	1539487	1541166	-	1680	285	63	113	107	238	134	420
gene-SAOUHSC_01617	NC_007795.1	1541182	1541634	-	453	10	0	0	16	46	8	8
gene-SAOUHSC_01618	NC_007795.1	1542066	1542947	-	882	28	20	128	22	41	24	250
gene-SAOUHSC_01619	NC_007795.1	1542925	1543155	-	231	0	5	14	2	9	2	15
gene-SAOUHSC_01620	NC_007795.1	1543148	1544485	-	1338	188	128	58	94	161	108	465
gene-SAOUHSC_01621	NC_007795.1	1544502	1544891	-	390	20	14	0	2	9	5	27
gene-SAOUHSC_01622	NC_007795.1	1544951	1545313	-	363	56	26	10	51	46	40	93
gene-SAOUHSC_01623	NC_007795.1	1545328	1546683	-	1356	280	57	110	256	283	112	588
gene-SAOUHSC_01624	NC_007795.1	1546683	1547147	-	465	28	6	20	40	38	30	75
gene-SAOUHSC_01625	NC_007795.1	1547621	1548178	-	558	4	8	6	10	13	2	16
gene-SAOUHSC_01626	NC_007795.1	1548204	1549265	-	1062	20	16	14	8	44	18	6
gene-SAOUHSC_01627	NC_007795.1	1549370	1549951	+	582	0	2	14	0	0	4	0
gene-SAOUHSC_01628	NC_007795.1	1549965	1550183	+	219	2	0	0	0	1	6	0
gene-SAOUHSC_01629	NC_007795.1	1550247	1551077	-	831	131	32	30	36	96	50	111
gene-SAOUHSC_01630	NC_007795.1	1551235	1551621	+	387	49	0	0	8	19	2	16
gene-SAOUHSC_01632	NC_007795.1	1551986	1553458	-	1473	573	51	482	353	337	237	1077
gene-SAOUHSC_01633	NC_007795.1	1553451	1554797	-	1347	544	20	332	431	444	146	1277
gene-SAOUHSC_01634	NC_007795.1	1554817	1555908	-	1092	80	4	44	20	61	14	72
gene-SAOUHSC_01635	NC_007795.1	1556067	1556591	-	525	6	0	16	38	5	2	48
gene-SAOUHSC_01636	NC_007795.1	1556581	1556727	-	147	0	0	0	0	0	0	0
gene-SAOUHSC_01637	NC_007795.1	1556824	1557321	-	498	0	0	0	0	0	0	0
gene-SAOUHSC_01638	NC_007795.1	1557239	1557559	-	321	0	0	0	0	0	0	0
gene-SAOUHSC_01639	NC_007795.1	1557525	1557971	-	447	0	0	10	0	0	0	0
gene-SAOUHSC_01640	NC_007795.1	1557949	1558260	-	312	0	0	0	0	0	0	0
gene-SAOUHSC_01641	NC_007795.1	1558274	1559194	-	921	0	0	10	0	0	0	0
gene-SAOUHSC_01643	NC_007795.1	1559316	1560290	-	975	0	0	18	0	0	4	0
gene-SAOUHSC_01644	NC_007795.1	1560342	1560965	-	624	42	20	20	6	24	19	114
gene-SAOUHSC_01645	NC_007795.1	1560962	1561291	-	330	357	74	184	46	137	151	139
gene-SAOUHSC_01646	NC_007795.1	1561291	1562277	-	987	106	20	65	28	81	31	103
gene-SAOUHSC_01647	NC_007795.1	1562274	1562477	-	204	4	0	0	0	1	0	0
gene-SAOUHSC_01650	NC_007795.1	1563933	1564472	-	540	0	0	0	0	0	0	8
gene-SAOUHSC_01651	NC_007795.1	1564681	1564830	-	150	2	0	0	0	2	0	1
gene-SAOUHSC_01652	NC_007795.1	1564943	1567018	-	2076	859	128	238	328	284	170	1385
gene-SAOUHSC_01653	NC_007795.1	1567139	1567738	-	600	285	64	104	232	232	182	570
gene-SAOUHSC_01655	NC_007795.1	1568014	1568424	-	411	0	0	0	0	0	0	0
gene-SAOUHSC_01656	NC_007795.1	1568411	1569274	-	864	36	48	86	18	28	13	20
gene-SAOUHSC_01657	NC_007795.1	1569316	1570101	-	786	20	18	41	2	2	9	16
gene-SAOUHSC_01658	NC_007795.1	1570227	1571117	-	891	208	46	202	26	54	88	230
gene-SAOUHSC_01659	NC_007795.1	1571127	1572473	-	1347	26	20	62	10	18	28	262
gene-SAOUHSC_01660	NC_007795.1	1572587	1573687	-	1101	121	50	76	4	41	16	162
gene-SAOUHSC_01661	NC_007795.1	1573690	1574367	-	678	144	14	46	4	40	24	218
gene-SAOUHSC_01662	NC_007795.1	1574498	1575604	-	1107	8729	2348	2014	1376	3866	2435	9554
gene-SAOUHSC_01663	NC_007795.1	1575828	1577627	-	1800	2603	843	1123	598	1724	1116	3634
gene-SAOUHSC_01664	NC_007795.1	1577688	1578506	-	819	140	52	172	85	68	138	682
gene-SAOUHSC_01665	NC_007795.1	1578517	1579056	-	540	2	0	0	2	2	0	18
gene-SAOUHSC_01666	NC_007795.1	1579475	1580866	+	1392	2375	414	1876	272	909	646	2366
gene-SAOUHSC_01667	NC_007795.1	1581016	1581762	-	747	332	62	108	92	271	173	864
gene-SAOUHSC_01668	NC_007795.1	1581790	1582689	-	900	878	249	531	143	381	748	1907
gene-SAOUHSC_01670	NC_007795.1	1582690	1583094	-	405	328	90	51	56	191	291	543
gene-SAOUHSC_01671	NC_007795.1	1583105	1583449	-	345	209	116	85	51	159	108	445
gene-SAOUHSC_01672	NC_007795.1	1583452	1583919	-	468	127	53	49	39	70	80	582
gene-SAOUHSC_01673	NC_007795.1	1583920	1584867	-	948	511	104	100	94	346	268	1140
gene-SAOUHSC_01675	NC_007795.1	1585171	1585869	-	699	52	460	1200	609	544	1124	3839
gene-SAOUHSC_01676	NC_007795.1	1585886	1586875	-	990	5429	8320	9642	27521	10397	15325	43397
gene-SAOUHSC_01677	NC_007795.1	1586893	1587576	-	684	725	2711	5589	2083	1193	2383	6688
gene-SAOUHSC_01678	NC_007795.1	1587820	1587996	-	177	69	70	116	72	58	43	176
gene-SAOUHSC_01679	NC_007795.1	1588289	1589635	-	1347	370	52	172	101	131	48	722
gene-SAOUHSC_01680	NC_007795.1	1589642	1590394	-	753	106	66	84	51	45	37	560
gene-SAOUHSC_01681	NC_007795.1	1590396	1591334	-	939	1382	96	70	223	262	64	668
gene-SAOUHSC_01682	NC_007795.1	1591338	1592477	-	1140	4118	522	164	776	750	154	1290
gene-SAOUHSC_01683	NC_007795.1	1592613	1594445	-	1833	110074	4830	4641	21171	18316	5543	61142
gene-SAOUHSC_01684	NC_007795.1	1594514	1595140	-	627	507	36	37	58	59	30	328
gene-SAOUHSC_01685	NC_007795.1	1595172	1596149	-	978	2875	802	897	648	736	279	3299
gene-SAOUHSC_01686	NC_007795.1	1596250	1597374	-	1125	14	0	16	0	0	18	18
gene-SAOUHSC_01687	NC_007795.1	1597626	1597754	-	129	19	2	7	33	44	62	312
gene-SAOUHSC_01688	NC_007795.1	1597937	1599760	-	1824	88	14	64	34	28	12	248
gene-SAOUHSC_01689	NC_007795.1	1600106	1600357	+	252	0	0	0	0	6	0	18
gene-SAOUHSC_01690	NC_007795.1	1600402	1601376	-	975	2	0	0	0	2	2	8
gene-SAOUHSC_01691	NC_007795.1	1601433	1603580	-	2148	12	8	40	8	21	14	40
gene-SAOUHSC_01692	NC_007795.1	1603639	1604070	-	432	24	10	42	0	40	6	62
gene-SAOUHSC_01693	NC_007795.1	1604192	1604878	-	687	36	6	238	4	26	4	54
gene-SAOUHSC_01694	NC_007795.1	1604918	1605634	-	717	708	192	188	182	426	156	502
gene-SAOUHSC_01695	NC_007795.1	1605637	1605990	-	354	111	28	8	21	61	10	95
gene-SAOUHSC_01696	NC_007795.1	1605991	1606575	-	585	76	0	10	6	22	12	51
gene-SAOUHSC_01697	NC_007795.1	1606565	1607134	-	570	39	4	30	7	10	14	51
gene-SAOUHSC_01698	NC_007795.1	1607137	1607427	-	291	19	4	28	9	8	8	46
gene-SAOUHSC_01699	NC_007795.1	1607431	1608237	-	807	22	6	16	20	41	32	62
gene-SAOUHSC_01700	NC_007795.1	1608251	1609351	-	1101	30	2	28	22	13	15	80
gene-SAOUHSC_01701	NC_007795.1	1609352	1609879	-	528	3	0	0	0	10	0	30
gene-SAOUHSC_01702	NC_007795.1	1609899	1610585	-	687	3	14	13	0	2	10	20
gene-SAOUHSC_01704	NC_007795.1	1610899	1611168	+	270	0	0	0	0	0	0	6
gene-SAOUHSC_01705	NC_007795.1	1611370	1612074	-	705	0	10	20	3	0	0	0
gene-SAOUHSC_01706	NC_007795.1	1612536	1613756	-	1221	6	0	8	2	6	0	10
gene-SAOUHSC_01707	NC_007795.1	1614045	1615274	-	1230	718	38	237	178	272	213	279
gene-SAOUHSC_01708	NC_007795.1	1615287	1616039	-	753	39	4	30	14	26	4	22
gene-SAOUHSC_01709	NC_007795.1	1616039	1617400	-	1362	153	4	32	71	56	23	72
gene-SAOUHSC_01710	NC_007795.1	1617414	1617863	-	450	11	0	0	2	1	4	12
gene-SAOUHSC_01711	NC_007795.1	1617865	1618779	-	915	86	0	20	7	36	26	68
gene-SAOUHSC_01712	NC_007795.1	1618865	1619566	-	702	32	8	24	4	3	16	41
gene-SAOUHSC_01714	NC_007795.1	1619925	1620401	-	477	32	29	87	4	33	27	160
gene-SAOUHSC_01715	NC_007795.1	1620429	1621052	-	624	718	152	303	242	310	409	1622
gene-SAOUHSC_01716	NC_007795.1	1621052	1622320	-	1269	730	95	224	124	192	295	584
gene-SAOUHSC_01717	NC_007795.1	1622332	1623255	-	924	401	94	129	32	184	289	961
gene-SAOUHSC_01718	NC_007795.1	1623258	1623896	-	639	10	2	10	2	2	2	8
gene-SAOUHSC_01719	NC_007795.1	1624181	1624489	-	309	102	21	8	19	58	38	41
gene-SAOUHSC_01720	NC_007795.1	1624504	1624932	-	429	1403	436	596	1110	1915	431	1181
gene-SAOUHSC_01721	NC_007795.1	1624936	1625196	-	261	1432	421	548	1340	2040	432	1165
gene-SAOUHSC_01722	NC_007795.1	1625259	1627889	-	2631	427	23	191	170	164	185	467
gene-SAOUHSC_01723	NC_007795.1	1628232	1630709	-	2478	69	26	62	22	16	28	110
gene-SAOUHSC_01724	NC_007795.1	1630711	1631379	-	669	7	6	26	0	2	0	20
gene-SAOUHSC_01727	NC_007795.1	1632959	1634101	-	1143	568	46	120	195	300	246	1074
gene-SAOUHSC_01728	NC_007795.1	1634413	1635426	+	1014	864	58	22	296	536	120	363
gene-SAOUHSC_01729	NC_007795.1	1635663	1635809	-	147	2	0	7	0	0	0	0
gene-SAOUHSC_01730	NC_007795.1	1635849	1636031	-	183	6	0	0	0	0	7	0
gene-SAOUHSC_01734	NC_007795.1	1636639	1637913	+	1275	619	76	112	600	406	168	1599
gene-SAOUHSC_01735	NC_007795.1	1638074	1638847	-	774	251	144	50	45	106	108	228
gene-SAOUHSC_01736	NC_007795.1	1638847	1638975	-	129	21	13	8	1	4	0	9
gene-SAOUHSC_01737	NC_007795.1	1639308	1641074	-	1767	222	22	171	92	70	64	489
gene-SAOUHSC_01738	NC_007795.1	1641090	1642352	-	1263	20	10	10	0	0	2	38
gene-SAOUHSC_01739	NC_007795.1	1642813	1643688	-	876	243	106	118	89	221	119	942
gene-SAOUHSC_01741	NC_007795.1	1643685	1644137	-	453	2007	525	210	624	1527	722	2749
gene-SAOUHSC_01742	NC_007795.1	1644149	1646338	-	2190	735	281	112	599	771	407	2250
gene-SAOUHSC_01743	NC_007795.1	1646766	1647284	-	519	4	8	0	0	8	0	34
gene-SAOUHSC_01744	NC_007795.1	1647306	1649579	-	2274	50	24	64	12	38	38	145
gene-SAOUHSC_01746	NC_007795.1	1649782	1652061	-	2280	182	40	136	78	134	152	258
gene-SAOUHSC_01747	NC_007795.1	1652336	1652596	-	261	0	0	0	0	0	0	4
gene-SAOUHSC_01748	NC_007795.1	1652615	1653754	-	1140	483	188	155	184	317	281	425
gene-SAOUHSC_01749	NC_007795.1	1653777	1654802	-	1026	40	6	32	24	19	35	89
gene-SAOUHSC_01750	NC_007795.1	1654804	1655808	-	1005	122	14	208	38	48	84	280
gene-SAOUHSC_01751	NC_007795.1	1655840	1656442	-	603	100	69	171	74	79	69	378
gene-SAOUHSC_01752	NC_007795.1	1656456	1656911	-	456	32	16	52	46	33	8	47
gene-SAOUHSC_01753	NC_007795.1	1656924	1658216	-	1293	155	11	67	104	85	70	382
gene-SAOUHSC_01755	NC_007795.1	1658571	1658855	-	285	217	27	45	98	85	88	394
gene-SAOUHSC_01756	NC_007795.1	1658867	1659187	-	321	289	66	141	151	188	95	645
gene-SAOUHSC_01757	NC_007795.1	1659193	1659501	-	309	140	38	67	105	97	75	417
gene-SAOUHSC_01758	NC_007795.1	1659668	1660198	-	531	354	83	167	61	36	94	117
gene-SAOUHSC_01759	NC_007795.1	1660198	1661040	-	843	179	49	55	26	26	55	152
gene-SAOUHSC_01760	NC_007795.1	1661240	1661359	-	120	62	12	112	2	3	11	94
gene-SAOUHSC_01761	NC_007795.1	1661433	1661906	-	474	94	25	210	2	2	32	102
gene-SAOUHSC_01761a	NC_007795.1	1662066	1662263	+	198	0	19	3	0	0	0	12
gene-SAOUHSC_01762	NC_007795.1	1662380	1662664	-	285	14	3	9	0	0	0	3
gene-SAOUHSC_01763	NC_007795.1	1662732	1663388	-	657	8	0	6	0	4	12	13
gene-SAOUHSC_01764	NC_007795.1	1663415	1664122	-	708	2	0	0	0	2	7	0
gene-SAOUHSC_01765	NC_007795.1	1664224	1664334	+	111	0	0	0	0	0	0	0
gene-SAOUHSC_01766	NC_007795.1	1664392	1665663	-	1272	152	119	146	106	222	278	149
gene-SAOUHSC_01767	NC_007795.1	1665676	1668306	-	2631	271	151	176	349	282	392	403
gene-SAOUHSC_01768	NC_007795.1	1668709	1669269	+	561	43	7	2	7	28	17	95
gene-SAOUHSC_01769	NC_007795.1	1669492	1670565	-	1074	191	70	642	561	393	434	0
gene-SAOUHSC_01770	NC_007795.1	1670599	1670700	-	102	23	10	46	220	107	92	0
gene-SAOUHSC_01771	NC_007795.1	1670761	1672047	-	1287	904	242	528	605	450	516	2090
gene-SAOUHSC_01772	NC_007795.1	1672095	1673069	-	975	425	36	208	114	83	95	221
gene-SAOUHSC_01773	NC_007795.1	1673072	1673740	-	669	20	6	11	0	4	8	8
gene-SAOUHSC_01774	NC_007795.1	1673762	1674688	-	927	79	14	52	36	32	32	161
gene-SAOUHSC_01775	NC_007795.1	1674730	1675545	-	816	27	5	51	20	40	39	79
gene-SAOUHSC_01776	NC_007795.1	1675567	1676913	-	1347	1051	229	611	658	759	721	3377
gene-SAOUHSC_01777	NC_007795.1	1677130	1677720	-	591	26	27	5	20	8	0	82
gene-SAOUHSC_01778	NC_007795.1	1677874	1679136	-	1263	574	120	232	392	442	338	802
gene-SAOUHSC_01779	NC_007795.1	1679287	1680588	-	1302	64	10	86	32	14	12	244
gene-SAOUHSC_01780	NC_007795.1	1680636	1680746	-	111	0	0	0	0	0	0	0
gene-SAOUHSC_01781	NC_007795.1	1680751	1681680	-	930	4	0	8	0	4	0	0
gene-SAOUHSC_01782	NC_007795.1	1681699	1682307	-	609	0	0	0	0	2	0	0
gene-SAOUHSC_01783	NC_007795.1	1682384	1682485	+	102	1	0	10	8	1	3	7
gene-SAOUHSC_01784	NC_007795.1	1682449	1682805	-	357	12	0	28	10	4	12	16
gene-SAOUHSC_01785	NC_007795.1	1682852	1683052	-	201	18	0	6	0	0	0	6
gene-SAOUHSC_01786	NC_007795.1	1683081	1683608	-	528	110	6	12	28	40	28	58
gene-SAOUHSC_01787	NC_007795.1	1683837	1685330	-	1494	74	56	96	74	78	110	414
gene-SAOUHSC_01788	NC_007795.1	1685756	1687693	-	1938	812	140	462	1228	487	1293	3666
gene-SAOUHSC_01789	NC_007795.1	1687891	1688013	-	123	27	12	2	28	40	15	53
gene-SAOUHSC_01791	NC_007795.1	1688106	1689026	-	921	160	56	10	90	154	63	318
gene-SAOUHSC_01792	NC_007795.1	1689026	1690426	-	1401	277	98	205	108	239	166	569
gene-SAOUHSC_01793	NC_007795.1	1690427	1690897	-	471	14	6	58	8	36	12	886
gene-SAOUHSC_01794	NC_007795.1	1691107	1692132	-	1026	840	390	1298	272	648	611	1445
